惡衣惡食,acs yz acs thuwcj,10000,
褕衣甘食,duz yz camz thuwcj,10000,
鐘鳴鼎食,chungz minhz ddinhr thuwcj,10000,
錦衣玉食,caamr yz ngocj thuwcj,10000,
豐衣足食,phongz yz tucs thuwcj,10000,
旁系親屬,bangf heej thaanz thuoocj,10000,
蒸蒸日上,chuwngz chuwngz nhaatj thuwowngj,10000,
高山流水,caoz sownz luwuz thuyr,10000,
千山萬水,thieenz sownz vanj thuyr,10000,
信口胡說,tins khaaur hoof thuyeets,10000,
急竹繁絲,caaps trucs phoonf tiz,10000,
三頭六臂,tamz ddaauf lucj tis,10000,
吹毛求疵,xuyz maoz caauf tif,10000,
分崩離析,phaanz bawngz liz tichs,10000,
一朝一夕,nhaats trieeuz nhaats tichj,10000,
匪伊朝夕,phir yz trieeuz tichj,10000,
不名一錢,baats danhz nhaats tieenf,10000,
一舉兩便,nhaats cuwr luwowngx tieenj,10000,
分道揚鑣,phaanz ddaoj duwowngz tieeuz,10000,
不近人情,baats caanj nhaanz tinhf,10000,
人事不省,nhaanz suwj baats tinhr,10000,
晨昏定省,thaanf hoonz ddinhj tinhr,10000,
半身不遂,bans thaanz baats toaij,10000,
九五之尊,cuwur ngux chiz toonz,10000,
唯我獨尊,duyz ngax ddoocj toonz,10000,
水陸道場,thuyr lucj ddaoj trangf,10000,
恐怖戰爭,khungr boos chieens tranhz,10000,
格物致知,cachs vaatj tris triz,10000,
龍章鳳篆,longz chuwowngz phuwowngj trieenj,10000,
更弦易轍,canhz huyeenf dichj trieetj,10000,
復蹈前轍,phucj ddaoj tieenf trieetj,10000,
同惡相助,ddoongf acs tuwowngz trowj,10000,
舉足輕重,cuwr tucs khinhz trongj,10000,
金石絲竹,kimz thachj tiz trucs,10000,
執兩用中,chaaps luwowngx dungj trungz,10000,
錐處囊中,chuyf xuwr nangz trungz,10000,
百發百中,bachs phats bachs trungs,10000,
綱舉目張,cuwowngz cuwr mucj truwowngz,10000,
慌慌張張,hoangr hoangr truwowngz truwowngz,10000,
食不充腸,thuwcj baats sungz truwowngf,10000,
窮寇莫追,cungf khaaus macj truyz,10000,
膏粱之子,caoz luwowngz chiz tuwr,10000,
犁牛之子,leez nguwuz chiz tuwr,10000,
同生共死,ddoongf sanhz coongj tuwr,10000,
赤繩繫足,xichs thawngf heej tucs,10000,
白衣卿相,bachj yz khanhz tuwowngs,10000,
布衣卿相,boos yz khanhz tuwowngs,10000,
夫倡婦隨,phuz xuwowngs phuj tuyf,10000,
出類拔萃,xuaats loaij batj tuyj,10000,
鞠躬盡瘁,cucs cungz taanj tuyj,10000,
謹則無憂,caanr tawcs vooz uwuz,10000,
高枕無憂,caoz chaamr vooz uwuz,10000,
孤陋寡聞,cooz laauj quar vawnz,10000,
偃武修文,yeenr vux tuz vawnz,10000,
隱花植物,aanr hoaz thuwcj vaatj,10000,
飲灰洗胃,aamr hooiz taayr vij,10000,
好高騖遠,haor caoz vuj vieenx,10000,
歐風美雨,aauz phongz mix vux,10000,
不識時務,baats thuwcs thowif vuj,10000,
擒賊擒王,caamf tawcj caamf vuwowngz,10000,
拔幟易幟,batj xis dichj xis,10000,
日炙風吹,nhaatj chichs phongz xuyz,10000,
出其不意,xuaats kif baats ys,10000,
強姦民意,cuwowngx gianz daanz ys,10000,
利比亞,lowij bir as ,10000,
長夜飲,truwowngf daj aamr ,10000,
二惡英,nhij acs anhz ,10000,
歐羅巴,aauz laz baz ,10000,
阿拉伯,az lapj bas ,10000,
單思病,ddownz tuwz beenhj ,10000,
抱不平,baox baats binhf ,10000,
保溫瓶,baor oonz binhf ,10000,
俱樂部,caauz lacj booj ,10000,
內政部,nooij chinhs booj ,10000,
巾箱本,caanz suwowngz boonr ,10000,
墨西哥,mawcj taayz caz ,10000,
不及格,baats caapj cachs ,10000,
不相干,baats tuwowngz canz ,10000,
五大洲,ngux ddaij chaauz ,10000,
多妻制,ddaz theez chees ,10000,
白內障,bachj nooij chuwowngs ,10000,
印刷機,aans loats cowz ,10000,
計算機,kees toans cowz ,10000,
收音機,thuz aamz cowz ,10000,
抱佛脚,baox phaatj cuwowcs ,10000,
操井臼,thaoz tinhr cuwux ,10000,
巴不得,baz baats ddawcs ,10000,
不相得,baats tuwowngz ddawcs ,10000,
顧不得,coos baats ddawcs ,10000,
免不得,mieenx baats ddawcs ,10000,
加拿大,giaz nax ddaij ,10000,
不平等,baats binhf ddawngr ,10000,
八正道,bats chinhs ddaoj ,10000,
不是頭,baats thij ddaauf ,10000,
出風頭,xuaats phongz ddaauf ,10000,
胞兄弟,baof huynhz ddeej ,10000,
表兄弟,bieeur huynhz ddeej ,10000,
堂兄弟,dduwowngf huynhz ddeej ,10000,
契兄弟,khees huynhz ddeej ,10000,
內兄弟,nooij huynhz ddeej ,10000,
不得已,baats ddawcs dix ,10000,
白居易,bachj cuwz dij ,10000,
容足地,dungz tucs ddiaj ,10000,
阿根廷,az cawnz ddinhf ,10000,
祕戲圖,bis his ddoof ,10000,
大本營,ddaij boonr doanhz ,10000,
華盛頓,hoaz thinhj ddoons ,10000,
阿取容,az thur dongz ,10000,
薄荷油,bacj haf duz ,10000,
三達德,tamz ddatj dduwcs ,10000,
阿芙蓉,az phuf dungz ,10000,
不中用,baats trungs dungj ,10000,
安眠藥,anz mieenz duwowcj ,10000,
不死藥,baats tuwr duwowcj ,10000,
印度洋,aans ddooj duwowngz ,10000,
大西洋,ddaij taayz duwowngz ,10000,
五大洋,ngux ddaij duwowngz ,10000,
陰陽家,aamz duwowngz giaz ,10000,
音樂家,aamz nhacj giaz ,10000,
八大家,bats ddaij giaz ,10000,
政治家,chinhs trij giaz ,10000,
不時間,baats thif gianz ,10000,
印度教,aans ddooj giaos ,10000,
印度敎,aans ddooj giaos ,10000,
波斯敎,baz tuwz giaos ,10000,
白蓮敎,bachj lieenz giaos ,10000,
拜火敎,bais hoar giaos ,10000,
拜物敎,bais vaatj giaos ,10000,
多神敎,ddaz thaanf giaos ,10000,
耶穌敎,giaz tooz giaos ,10000,
一神敎,nhaats thaanf giaos ,10000,
地中海,ddiaj trungz hair ,10000,
阿富汗,az phus hanx ,10000,
處女航,xuwr nuwx hangf ,10000,
八角形,bats giacs hinhf ,10000,
六角形,lucj giacs hinhf ,10000,
三角形,tamz giacs hinhf ,10000,
三稜形,tamz lawngz hinhf ,10000,
單性花,ddownz tinhs hoaz ,10000,
君子花,quaanz tuwr hoaz ,10000,
賠錢貨,booif tieenf hoas ,10000,
人格化,nhaanz cachs hoas ,10000,
音樂會,aamz nhacj hooij ,10000,
博覽會,bacs lamx hooij ,10000,
百日紅,bachs nhaatj hoongf ,10000,
三不朽,tamz baats hur ,10000,
夜來香,daj laiz huwowngz ,10000,
不打緊,baats ddar khaanr ,10000,
不可抗,baats khar khangs ,10000,
核武器,hachj vux khis ,10000,
﻿一口氣,nhaats khaaur khis ,10000,
噴霧器,phuns vuj khis ,10000,
味覺器,vij giacs khis ,10000,
百合科,bachs howpj khoaz ,10000,
莫斯科,macj tuwz khoaz ,10000,
白鉛礦,bachj duyeenz khoangs ,10000,
看不起,khans baats khowir ,10000,
創世記,sangs thees kis ,10000,
阿僧祇,az tawngz kif ,10000,
土耳其,thoor nhix kif ,10000,
大藏經,ddaij tangj kinhz ,10000,
三字經,tamz tuwj kinhz ,10000,
阿修羅,az tuz laz ,10000,
奧地利,aos ddiaj lowij ,10000,
巴比倫,baz bir luaanz ,10000,
辯證論,bieenj chuwngs luaanj ,10000,
唯我論,duyz ngax luaanj ,10000,
唯心論,duyz taamz luaanj ,10000,
唯識論,duyz thuwcs luaanj ,10000,
唯實論,duyz thuwcj luaanj ,10000,
唯物論,duyz vaatj luaanj ,10000,
三段論,tamz ddoanj luaanj ,10000,
舊大陸,cuwuj ddaij lucj ,10000,
原動力,nguyeenz ddoongj luwcj ,10000,
大動脈,ddaij ddoongj machj ,10000,
大靜脈,ddaij tinhx machj ,10000,
家祖母,giaz toor maaux ,10000,
哉生明,taiz sinhz minhz ,10000,
大規模,ddaij quyz mooz ,10000,
凱旋門,khair toanf moonz ,10000,
黃粱夢,hoangf luwowngz moongj ,10000,
真面目,chaanz dieenj mucj ,10000,
不相能,baats tuwowngz nawngz ,10000,
原子能,nguyeenz tuwr nawngz ,10000,
打市語,ddar thij nguwx ,10000,
單音語,ddownz aamz nguwx ,10000,
姜子牙,khuwowngz tuwr nhaz ,10000,
西班牙,taayz banz nhaz ,10000,
噴出岩,phuns xuaats nhamz ,10000,
局內人,cucj nooij nhaanz ,10000,
候選人,haauj tuyeenr nhaanz ,10000,
人其人,nhaanz kif nhaanz ,10000,
發言人,phats ngoonz nhaanz ,10000,
佛誕日,phaatj ddanr nhaatj ,10000,
病包兒,beenhj baoz nhiz ,10000,
混血兒,hoonx huyeets nhiz ,10000,
草標兒,thaor tieeuz nhiz ,10000,
科索沃,khoaz tacs oocs ,10000,
不倒翁,baats ddaor oongz ,10000,
哉生魄,taiz sinhz phachs ,10000,
副產品,phos sanr phaamr ,10000,
阿拉法,az lapj phaps ,10000,
百分法,bachs phaanz phaps ,10000,
白癜風,bachj ddieens phongz ,10000,
占上風,chieems thuwowngj phongz ,10000,
大丈夫,ddaij truwowngj phuz ,10000,
君師父,quaanz suwz phuj ,10000,
人生觀,nhaanz sinhz quanz ,10000,
王昭君,vuwowngz chieeuz quaanz ,10000,
合衆國,howpj chungs quoocs ,10000,
白日鬼,bachj nhaatj quyr ,10000,
不動產,baats ddoongj sanr ,10000,
大多數,ddaij ddaz soos ,10000,
舊金山,cuwuj kimz sownz ,10000,
噴火山,phuns hoar sownz ,10000,
按察使,ans sats suws ,10000,
不曉事,baats hieeur suwj ,10000,
不經事,baats kinhz suwj ,10000,
百分率,bachs phaanz suaats ,10000,
大元帥,ddaij nguyeenz suys ,10000,
不合作,baats howpj tacs ,10000,
處女作,xuwr nuwx tacs ,10000,
八斗才,bats ddaaur taif ,10000,
不經心,baats kinhz taamz ,10000,
菩提心,boof ddeef taamz ,10000,
佛法僧,phaatj phaps tawngz ,10000,
法蘭西,phaps lanz taayz ,10000,
白雲石,bachj vaanz thachj ,10000,
不壞身,baats hoaij thaanz ,10000,
不則聲,baats tawcs thanhz ,10000,
三寸舌,tamz thoons thieetj ,10000,
混凝土,hoonx nguwngz thoor ,10000,
三合土,tamz howpj thoor ,10000,
菩提樹,boof ddeef thuj ,10000,
印刷術,aans loats thuaatj ,10000,
印花稅,aans hoaz thuees ,10000,
入口稅,nhaapj khaaur thuees ,10000,
趕不上,canr baats thuwowngj ,10000,
陰陽水,aamz duwowngz thuyr ,10000,
大洪水,ddaij hoongf thuyr ,10000,
學課錢,hocj khoas tieenf ,10000,
丁字節,ddinhz tuwj tieets ,10000,
中元節,trungz nguyeenz tieets ,10000,
抱柱信,baox truj tins ,10000,
薄荷晶,bacj haf tinhz ,10000,
大行星,ddaij hanhf tinhz ,10000,
葉綠素,dieepj lucj toos ,10000,
真言宗,chaanz ngoonz toongz ,10000,
佛心宗,phaatj taamz toongz ,10000,
南北朝,namz bawcs trieeuf ,10000,
無形中,vooz hinhf trungz ,10000,
胞子蟲,baof tuwr trungf ,10000,
九迴腸,cuwur hooif truwowngf ,10000,
運動場,vaanj ddoongj truwowngf ,10000,
隱君子,aanr quaanz tuwr ,10000,
白附子,bachj phuj tuwr ,10000,
蒲窩子,boof oaz tuwr ,10000,
孤哀子,cooz aiz tuwr ,10000,
吊嗓子,ddieeus tangr tuwr ,10000,
下輩子,haj boois tuwr ,10000,
